Mean,-11.8667,-77.0826
Mean,-11.8363,-77.1229
Mean,-11.9879,-77.0952
Mean,-11.9339,-77.0955
Mean,-11.8722,-77.0287
Mean,-11.9851,-77.0804
Mean,-11.9198,-77.0896
Mean,-11.7767,-77.1659
Mean,-11.8419,-77.1536
Mean,-11.8869,-77.0633
Mean,-11.8299,-77.1613
Mean,-11.938,-77.0751
Mean,-11.8443,-77.1089
Mean,-11.9834,-77.0707
Mean,-11.9805,-77.0415
Mean,-11.8413,-77.1373
Mean,-11.968,-77.0606
Mean,-11.8748,-77.0131
Mean,-11.8309,-77.1466
Mean,-11.8544,-77.0903
Mean,-11.8522,-77.1456
Mean,-11.9297,-77.0834
Mean,-11.9708,-77.0415
Mean,-11.9715,-77.0711
Mean,-11.9767,-77.0557
Mean,-11.8544,-77.0719
Mean,-11.8536,-77.0055
Point,-11.8434,-77.1368,15
Point,-11.8418,-77.1358,15
Point,-11.842,-77.1355,15
Point,-11.8444,-77.1376,15
Point,-11.8388,-77.1383,15
Point,-11.8392,-77.1379,15
Point,-11.8468,-77.1354,15
Point,-11.8467,-77.1345,15
Point,-11.844,-77.1381,15
Point,-11.8421,-77.1358,15
Point,-11.8409,-77.1374,15
Point,-11.8398,-77.1385,15
Point,-11.843,-77.1403,15
Point,-11.8415,-77.1375,15
Point,-11.8417,-77.1349,15
Point,-11.8452,-77.1358,15
Point,-11.8421,-77.1361,15
Point,-11.8448,-77.1343,15
Point,-11.846,-77.1374,15
Point,-11.843,-77.1356,15
Point,-11.8425,-77.1399,15
Point,-11.8454,-77.1333,15
Point,-11.8442,-77.1359,15
Point,-11.8492,-77.1358,15
Point,-11.8449,-77.137,15
Point,-11.8432,-77.1361,15
Point,-11.8381,-77.138,15
Point,-11.8462,-77.1363,15
Point,-11.8394,-77.138,15
Point,-11.843,-77.1365,15
Point,-11.8455,-77.1335,15
Point,-11.8429,-77.1368,15
Point,-11.8448,-77.1371,15
Point,-11.8402,-77.1368,15
Point,-11.8429,-77.1363,15
Point,-11.8452,-77.1389,15
Point,-11.8409,-77.1391,15
Point,-11.847,-77.133,15
Point,-11.839,-77.1382,15
Point,-11.8447,-77.1368,15
Point,-11.8439,-77.136,15
Point,-11.8431,-77.1393,15
Point,-11.8453,-77.1349,15
Point,-11.8424,-77.1354,15
Point,-11.8443,-77.1391,15
Point,-11.8384,-77.1384,15
Point,-11.8414,-77.1378,15
Point,-11.844,-77.1384,15
Point,-11.8411,-77.1357,15
Point,-11.9588,-77.0696,23
Point,-11.9844,-77.0975,2
Point,-11.9703,-77.0763,23
Point,-11.9386,-77.0738,11
Point,-11.9838,-77.0982,2
Point,-11.9839,-77.0988,2
Point,-11.9459,-77.077,11
Point,-11.9877,-77.0844,5
Point,-11.985,-77.097,2
Point,-11.9852,-77.0966,2
Point,-11.9856,-77.0986,2
Point,-11.9848,-77.0958,2
Point,-11.9889,-77.099,2
Point,-11.9847,-77.0962,2
Point,-11.9863,-77.096,2
Point,-11.9861,-77.0966,2
Point,-11.989,-77.0997,2
Point,-11.9852,-77.0952,2
Point,-11.9873,-77.0996,2
Point,-11.9895,-77.0994,2
Point,-11.9856,-77.0977,2
Point,-11.9869,-77.0956,2
Point,-11.9883,-77.1017,2
Point,-11.9854,-77.0948,2
Point,-11.9848,-77.0976,2
Point,-11.9882,-77.097,2
Point,-11.9853,-77.0981,2
Point,-11.9879,-77.0967,2
Point,-11.9857,-77.0966,2
Point,-11.9871,-77.0963,2
Point,-11.9884,-77.0996,2
Point,-11.9872,-77.0957,2
Point,-11.9878,-77.0989,2
Point,-11.9872,-77.0971,2
Point,-11.9857,-77.0959,2
Point,-11.9854,-77.0999,2
Point,-11.9847,-77.0984,2
Point,-11.9877,-77.1013,2
Point,-11.9873,-77.0999,2
Point,-11.989,-77.1018,2
Point,-11.9849,-77.0966,2
Point,-11.9851,-77.0976,2
Point,-11.9891,-77.1018,2
Point,-11.9891,-77.0968,2
Point,-11.9858,-77.0979,2
Point,-11.9875,-77.0969,2
Point,-11.9869,-77.0991,2
Point,-11.9878,-77.0993,2
Point,-11.9829,-77.0978,2
Point,-11.9861,-77.0988,2
Point,-11.9885,-77.1003,2
Point,-11.9881,-77.0995,2
Point,-11.9842,-77.0993,2
Point,-11.9873,-77.0998,2
Point,-11.984,-77.0989,2
Point,-11.9898,-77.0973,2
Point,-11.9882,-77.0971,2
Point,-11.9879,-77.1029,2
Point,-11.9874,-77.1013,2
Point,-11.9875,-77.099,2
Point,-11.9871,-77.099,2
Point,-11.9862,-77.0963,2
Point,-11.9883,-77.1014,2
Point,-11.9854,-77.0951,2
Point,-11.9893,-77.0969,2
Point,-11.9853,-77.0952,2
Point,-11.9894,-77.0988,2
Point,-11.9879,-77.0967,2
Point,-11.985,-77.0996,2
Point,-11.9873,-77.0993,2
Point,-11.8763,-77.0238,4
Point,-11.8808,-77.0251,4
Point,-11.8813,-77.024,4
Point,-11.88,-77.0224,4
Point,-11.8795,-77.0263,4
Point,-11.8813,-77.0238,4
Point,-11.8795,-77.0247,4
Point,-11.8787,-77.019,17
Point,-11.8786,-77.0238,4
Point,-11.8799,-77.024,4
Point,-11.8766,-77.0222,4
Point,-11.8778,-77.0244,4
Point,-11.8806,-77.0241,4
Point,-11.8781,-77.021,17
Point,-11.8786,-77.0254,4
Point,-11.8805,-77.0231,4
Point,-11.8779,-77.0234,4
Point,-11.8808,-77.0214,17
Point,-11.8778,-77.0216,4
Point,-11.8805,-77.0219,17
Point,-11.8783,-77.0235,4
Point,-11.8763,-77.0227,4
Point,-11.8774,-77.0225,4
Point,-11.8786,-77.0255,4
Point,-11.8758,-77.0181,17
Point,-11.8808,-77.0253,4
Point,-11.8795,-77.023,4
Point,-11.8802,-77.0244,4
Point,-11.8794,-77.0243,4
Point,-11.8813,-77.0235,4
Point,-11.8788,-77.0191,17
Point,-11.8769,-77.0234,4
Point,-11.8783,-77.0208,17
Point,-11.8815,-77.0237,4
Point,-11.8788,-77.0236,4
Point,-11.8805,-77.0245,4
Point,-11.8788,-77.0194,17
Point,-11.9897,-77.094,2
Point,-11.9901,-77.094,2
Point,-11.9881,-77.0929,2
Point,-11.9868,-77.0904,2
